year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2015,1,Luhansk oblast,3,48.566667,39.3,13/02/2015,13/02/2015,1
2015,1,,2,48.15,38.65,13/02/2015,13/02/2015,1
2015,1,Donetsk oblast,3,48.595434,37.994085,13/02/2015,14/02/2015,1
2015,1,Donetsk oblast,2,48,37.805278,14/02/2015,14/02/2015,1
2015,1,Luhansk oblast,2,48.633333,38.38,15/02/2015,15/02/2015,1
2015,1,Donetsk oblast,4,48.379985,38.345045,14/02/2015,14/02/2015,1
2015,1,Donetsk oblast,2,48.333333,38.4,15/02/2015,15/02/2015,1
2015,1,Donetsk oblast,21,48.333333,38.4,18/02/2015,18/02/2015,1
2015,1,Donetsk oblast,1,48,37.805278,19/02/2015,19/02/2015,1
2015,1,Donetsk oblast,3,47.147911,37.784462,26/02/2015,26/02/2015,1
2015,1,Donetsk oblast,2,48.06087,37.681397,28/02/2015,28/02/2015,1
2015,1,Donetsk oblast,1,48.145278,37.745,01/03/2015,01/03/2015,1
2015,1,Luhansk oblast,1,48.724788,38.63232,02/03/2015,03/03/2015,1
2015,1,Donetsk oblast,1,47.454602,37.864028,03/03/2015,04/03/2015,1
2015,1,,177,48.15,38.65,13/01/2015,15/02/2015,2
2015,1,Donetsk oblast,1,47.094565,37.815639,07/03/2015,07/03/2015,1
2015,1,Donetsk oblast,1,48.595434,37.994085,10/03/2015,10/03/2015,1
2015,1,Donetsk oblast,1,48.06087,37.681397,15/03/2015,15/03/2015,1
2015,1,,1,48.15,38.65,15/03/2015,15/03/2015,1
2015,1,Donetsk oblast,2,47.18316,37.862063,16/03/2015,16/03/2015,1
2015,1,Donetsk oblast,2,48.402567,38.354566,16/03/2015,17/03/2015,1
2015,1,Donetsk oblast,1,48.533333,37.716667,16/03/2015,16/03/2015,1
2015,1,Luhansk oblast,1,48.694329,39.453292,17/03/2015,18/03/2015,1
2015,1,Donetsk oblast,1,48.145278,37.745,20/03/2015,20/03/2015,1
2015,1,Donetsk oblast,3,47.094565,37.815639,20/03/2015,20/03/2015,1
2015,1,Donetsk oblast,1,48.313148,38.277561,20/03/2015,21/03/2015,1
2015,1,Donetsk oblast,1,47.21027,37.75273,20/03/2015,20/03/2015,1
2015,1,Luhansk oblast,2,48.724788,38.63232,20/03/2015,20/03/2015,1
2015,1,,2,48.15,38.65,23/03/2015,24/03/2015,1
2015,1,Donetsk oblast,1,48.3,38.05,23/03/2015,24/03/2015,1
2015,1,Donetsk oblast,1,48,37.805278,23/03/2015,24/03/2015,1
2015,1,Donetsk oblast,3,48.595434,37.994085,20/03/2015,20/03/2015,1
2015,1,Donetsk oblast,1,47.094565,37.815639,27/03/2015,27/03/2015,1
2015,1,Donetsk oblast,1,47.454602,37.864028,29/03/2015,29/03/2015,1
2015,1,Donetsk oblast,4,48.145278,37.745,03/04/2015,03/04/2015,1
2015,1,Luhansk oblast,4,48.721895,39.25145,05/04/2015,05/04/2015,1
2015,1,Donetsk oblast,2,47.094565,37.815639,05/04/2015,05/04/2015,1
2015,1,Donetsk oblast,2,48.096377,37.72225,07/04/2015,07/04/2015,1
2015,1,Luhansk oblast,4,48.92,39.02,01/01/2015,28/02/2015,1
2015,1,Donetsk oblast,1,47.595,37.4825,12/04/2015,12/04/2015,1
2015,1,Donetsk oblast,6,48.145278,37.745,13/04/2015,13/04/2015,1
2015,1,Donetsk oblast,1,48.06087,37.681397,14/04/2015,14/04/2015,1
2015,1,Donetsk oblast,0,48.075,37.725556,15/04/2015,15/04/2015,1
2015,1,Donetsk oblast,1,48.06087,37.681397,20/04/2015,21/04/2015,1
2015,1,Donetsk oblast,1,48.426833,36.855864,25/04/2015,25/04/2015,1
2015,1,Donetsk oblast,1,47.454602,37.864028,26/04/2015,26/04/2015,1
2015,1,Donetsk oblast,1,47.094565,37.815639,29/04/2015,30/04/2015,1
2015,1,Donetsk oblast,1,48,37.805278,29/04/2015,30/04/2015,1
2015,1,Donetsk oblast,1,47.094565,37.815639,25/04/2015,25/04/2015,1
2015,1,Donetsk oblast,1,47.595,37.4825,27/04/2015,27/04/2015,1
2015,1,,1,48.15,38.65,28/04/2015,28/04/2015,1
2015,1,Donetsk oblast,1,48.06087,37.681397,29/04/2015,29/04/2015,1
2015,1,Donetsk oblast,1,48.14,37.74,29/04/2015,30/04/2015,1
2015,1,Donetsk oblast,2,48.363831,38.414283,30/04/2015,30/04/2015,1
2015,1,Donetsk oblast,1,47.094565,37.815639,02/05/2015,03/05/2015,1
2015,1,Donetsk oblast,1,47.941669,37.504218,02/05/2015,03/05/2015,1
2015,1,Donetsk oblast,1,48.14,37.74,02/05/2015,03/05/2015,1
2015,1,Luhansk oblast,2,48.92,39.02,03/05/2015,04/05/2015,1
2015,1,Donetsk oblast,1,48.14,37.74,03/05/2015,04/05/2015,1
2015,1,Donetsk oblast,1,48.075,37.725556,05/05/2015,05/05/2015,1
2015,1,Donetsk oblast,4,48.145278,37.745,05/05/2015,06/05/2015,1
2015,1,Donetsk oblast,1,48.435297,38.220482,05/05/2015,06/05/2015,1
2015,1,Donetsk oblast,1,48.448502,38.265013,07/05/2015,07/05/2015,1
2015,1,Donetsk oblast,1,48.271486,37.846852,15/05/2015,15/05/2015,1
2015,1,Donetsk oblast,2,48.435297,38.220482,16/05/2015,16/05/2015,1
2015,1,Luhansk oblast,4,48.633333,38.38,17/05/2015,17/05/2015,1
2015,1,Luhansk oblast,6,48.668695,38.483163,19/05/2015,19/05/2015,1
2015,1,Donetsk oblast,1,48.145278,37.745,21/05/2015,22/05/2015,1
2015,1,Donetsk oblast,1,48,37.805278,21/05/2015,21/05/2015,1
2015,1,Luhansk oblast,0,48.477778,38.797778,23/05/2015,23/05/2015,1
2015,1,Donetsk oblast,1,48.430248,38.349567,22/05/2015,22/05/2015,1
2015,1,Donetsk oblast,1,47.094565,37.815639,24/05/2015,24/05/2015,1
2015,1,,1,48.15,38.65,24/05/2015,25/05/2015,1
2015,1,Donetsk oblast,4,47.094565,37.815639,25/05/2015,26/05/2015,1
2015,1,Donetsk oblast,1,48.145278,37.745,25/05/2015,26/05/2015,1
2015,1,Luhansk oblast,1,48.715473,39.666954,25/05/2015,25/05/2015,1
2015,1,Donetsk oblast,3,48.3,38.05,26/05/2015,26/05/2015,1
